ID|NAME|NAME_EN|STAR|CLASS|Gender|ILLUST|CV|Origin|Region|Camp|T_NAME|T_PROP|T_TYPE
46|卡米拉|Carmilla|4|Assassin|女性|okojo|田中敦子|史实|匈牙利|地|幻想的铁处女（Phantom Maiden）|Buster|对人宝具
47|赫拉克勒斯|Hercules|4|Berserker|男性|Azusa|西前忠久|希腊神话|希腊|天|射杀百头（Nine Lives）|Buster|不明
48|兰斯洛特|Lancelot|4|Berserker|男性|こやまひろかず|置鲇龙太郎|亚瑟王传说|英国|地|骑士不死于徒手（Knight of Honor）|Quick|对人宝具
49|吕布奉先|Lu Bu Fengxian|3|Berserker|男性|ワダアルコ|安井邦彦|史实|中国|人|军神五兵（God Force）|Buster|对人、对军、对城宝具
50|斯巴达克斯|Spartacus|1|Berserker|男性|近衛乙嗣|鹤冈聪|史实|罗马|人|疵兽的咆吼（Crying Warmonger）|Buster|对人宝具
51|坂田金时|Sakata Kintoki|5|Berserker|男性|本庄雷太|游佐浩二|史实|日本|人|黄金冲击（Golden Spark）|Buster|对军宝具
52|弗拉德三世|Vlad Ⅲ|5|Berserker|男性|前田浩孝|置鲇龙太郎|《德古拉》|罗马尼亚|地|血染的王鬼（Kazikli Bey）|Arts|对人宝具
53|阿斯忒里俄斯|Asterius|1|Berserker|男性|しまどりる|鸟海浩辅|希腊神话|希腊|地|万古不变的迷宫（Chaos Labyrinthos）|Arts|迷宫宝具
54|卡里古拉|Caligula|2|Berserker|男性|BLACK|鹤冈聪|史实|欧洲|人|残食我心吧，月之光（Flucticulus Diana）|Arts|对军宝具
55|大流士三世|Darius Ⅲ|3|Berserker|男性|PFALZ|安井邦彦|史实|西亚|人|不死的一万骑兵（Athánatoi Ten Thousand）|Buster|对军宝具
56|清姬|Kiyohime|3|Berserker|女性|BLACK|种田梨沙|《清姬传说》|日本|地|转身火生三昧|Buster|对人宝具
57|血斧埃里克|Eric Bloodaxe|2|Berserker|男性|蒼月タカオ|安井邦彦|《Fagrskinna》|挪威~英格兰|人|染血的加冕仪式（Bloodbath Crown）|Buster|对军宝具
58|玉藻猫|Tamamo Cat|4|Berserker|女性|ワダアルコ|斋藤千和|Fate/EXTRA CCC|SE.RA.PH|地|灿灿日光午睡宫酒池肉林|Quick|对人宝具
59|贞德|Jeanne d'Arc|5|Ruler|女性|武内崇|坂本真绫|史实|法国|星|我的上帝在此（Luminosite Eternelle）|Arts|结界宝具
60|俄里翁|Orion|5|Archer|男性・女性|I-IV|神奈延年&泽城美雪|希腊神话|希腊|天|月之女神的爱矢恋矢（Tristar Amore Mio）|Arts|对人宝具
61|伊丽莎白·巴陶里〔万圣节〕|Erzsebet Bathory|4|Caster|女性|ワダアルコ|大久保瑠美|史实|匈牙利|人|鲜血特上魔娘（Báthory Halloween Erzsébet）|Buster|对人宝具
62|玉藻前|Tamamo no Mae|5|Caster|女性|ワダアルコ|斋藤千和|日本神话|日本|天|水天日光天照八野镇石|Arts|对军宝具
63|大卫|David|3|Archer|男性|ギンカ|中村悠一|旧约圣经|以色列|天|五块石头（Hamesh Avanim）|Buster|对人宝具
64|赫克托耳|Hector|3|Lancer|男性|BLACK|安井邦彦|特洛伊战争|希腊|人|不毁的极枪（Durindana）|Buster|对军宝具
65|弗朗西斯·德雷克|Francis Drake|5|Rider|女性|ワダアルコ|高乃丽|史实|英国|星|黄金鹿与暴风夜（Golden Wild Hunt）|Buster|对军宝具
66|安妮·伯妮&玛丽·里德|Anne Bonny & Mary Read|4|Rider|女性|I-IV|野中蓝&川澄绫子|史实|加勒比|人|比翼连理（Caribbean Freebird）|Quick|对人宝具
67|美狄亚〔Lily〕|Medea|4|Caster|女性|こやまひろかず|野中蓝|希腊神话|希腊|地|万疵必行修补（Pain Breaker）|Arts|对魔术宝具
68|冲田总司|Souji Okita|5|Saber|女性|武内崇|悠木碧|史实|日本|人|无明三段突刺|Quick|对人魔剑
69|织田信长|Nobunaga Oda|4|Archer|女性|pako|钉宫理惠|史实|日本|人|三千世界|Buster|对军宝具
70|斯卡哈|Scathach|5|Lancer|女性|こやまひろかず|能登麻美子|凯尔特神话|爱尔兰|星|贯穿死翔之枪（Gae Bolg Alternative）|Quick|对人宝具
71|迪尔姆德·奥迪纳|Diarmuid Ua Duibhne|3|Lancer|男性|また|绿川光|凯尔特神话|爱尔兰|地|破魔的红蔷薇、必灭的黄蔷薇（Gae Dearg&Gae Buidhe）|Quick|对人宝具
72|弗格斯·马克·罗伊|Fergus Mac Roich|3|Saber|男性|Bすけ|黑田崇矢|凯尔特神话|爱尔兰|地|虹霓剑（Caladbolg）|Buster|对军宝具
73|阿尔托莉雅·潘德拉贡〔Santa Alter〕|Altria Pendragon|4|Rider|女性|武内崇|川澄绫子|大约一周的圣诞Alter小姐 |芬兰|人|誓约胜利之剑（Excalibur・Morgan）|Buster|对城宝具
74|童谣|Nursery Rhyme|4|Caster|女性|ワダアルコ|野中蓝|英国童话|欧洲|人|为某人写的故事（Nursery Rhyme）|Arts|对人宝具
75|开膛手杰克|Jack the Ripper|5|Assassin|女性|近衛乙嗣|丹下樱|史实|伦敦|地|解体圣母（Maria the Ripper）|Quick|对人宝具
76|莫德雷德|Mordred|5|Saber|女性|近衛乙嗣|泽城美雪|亚瑟王传说|英格兰|地|向端丽的吾父发起叛逆（Clarent Blood Arthur）|Buster|对军宝具
77|尼古拉·特斯拉|Nikola Tesla|5|Archer|男性|なまにくATK（ニトロプラス）|稻田彻|史实|欧洲|星|人类神话・雷电降临（System Keraunos）|Buster|对城宝具
78|阿尔托莉雅·潘德拉贡〔Alter〕|Altria Pendragon|4|Lancer|女性|石田あきら|川澄绫子|亚瑟王传说|欧洲|天|耀于至远之枪（Rhongomyniad）|Buster|对城宝具
79|冯·霍恩海姆·帕拉塞尔苏斯|Von Hohenheim Paracelsus|3|Caster|男性|中原|三木真一郎|史实|欧洲|人|元素使的魔剑（Sword of Paracelsus）|Arts|对军宝具
80|查尔斯·巴贝奇|Charles Babbage|3|Caster|男性|I-IV|稻田彻|史实|欧洲|人|绚烂的灰烬世界（Dimension of Steam）|Buster|对军宝具
81|亨利·杰基尔&海德|Henry Jekyll & Hyde|3|Assassin|男性|中原|宫野真守|化身博士|欧洲|地|暗中的罪孽游戏（Dangerous Game）|Buster|对人宝具
82|弗兰肯斯坦|Frankenstein|4|Berserker|女性|岡崎武士|野中蓝|人造人|欧洲全域|地|磔刑之雷树（Blasted Tree）|Quick|对军宝具
83|所罗门|Solomon|5|Grand Caster|男性|武内崇|——|||天|||
84|阿周那|Arjuna|5|Archer|男性|pako|岛崎信长|摩诃婆罗多|印度|天|破坏神的手影（Pāśupata）|Buster|对人宝具
85|迦尔纳|Karna|5|Lancer|男性|pako|游佐浩二|摩诃婆罗多|印度|天|日轮呀，顺从死亡（Vasavi Shakti）|Buster|对神宝具
86|谜之女主角X|Mysterious Heroine X|5|Assassin|女性|BUNBUN|川澄绫子|2013年的愚人节|Servant界|星|无铭胜利剑|Quick|对人宝具
87|芬恩·麦克库尔|Fionn mac Cumhaill|4|Lancer|男性|森山大輔|三木真一郎|凯尔特神话|欧洲|天|无败的紫靫草（Mac-a-Luin）|Arts|对军宝具
88|布伦希尔德|Brynhildr|5|Lancer|女性|三輪士郎|能登麻美子|北欧神话|欧洲|天|直至死亡将二人分离（Brynhildr Romancia）|Buster|对人宝具
89|贝奥武夫|Beowulf|4|Berserker|男性|下越|中井和哉|贝奥武夫|北欧|地|源流斗争（Grendel Buster）|Buster|对人宝具
90|尼禄·克劳狄乌斯〔花嫁〕|Nero Claudius|5|Saber|女性|ワダアルコ|丹下樱|史实|罗马|人|星驰终幕的蔷薇（Fax Caelestis）|Arts|对人宝具
91|两仪式〔Saber〕|Shiki Ryougi|5|Saber|女性|武内崇|坂本真绫|空之境界|日本|人|无垢识・空之境界|Arts|对人宝具
92|两仪式〔Assassin〕|Shiki Ryougi|4|Assassin|女性|武内崇|坂本真绫|空之境界|日本|人|唯识・直死之魔眼|Arts|对人宝具
93|天草四郎|Shirou Amakusa|5|Ruler|男性|近衛乙嗣|内山昂辉|史实|日本|人|双腕・零次集束（Twin Arm Big Crunch）|Buster|对军宝具
94|阿斯托尔福|Astolfo|4|Rider|？？？|近衛乙嗣|大久保瑠美|查理曼传说|法国|地|此世无存的幻马（Hippogriff）|Quick|对军宝具
95|幼吉尔|Child Gil|3|Archer|男性|天空すふぃあ|远藤绫|史实、吉尔伽美什叙事诗|西亚|天|王之财宝（Gate Of Babylon）|Buster|对人宝具
96|岩窟王 爱德蒙·唐泰斯|Edmond Dantes|5|Avenger|男性|小松崎類|岛崎信长|大仲马著《基督山伯爵》？|法国|人|虎呀，燃烧着煌煌火光（Enfer Château d'If）|Quick|对军宝具
97|南丁格尔|Nightingale|5|Berserker|女性|高橋慶太郎|泽城美雪|史实|欧洲|人|我将绝灭一切毒害（Nightingale Pledge）|Arts|对军宝具
98|库·丘林〔Alter〕|Cu Chulainn|5|Berserker|男性|しまどりる|神奈延年|凯尔特神话|欧洲|地|啮碎死牙之兽（Curruid Coinchenn）|Buster|对人宝具
99|女王梅芙|Medb|5|Rider|女性|高山箕犀|佐仓绫音|凯尔特神话|爱尔兰|地|我所心爱的铁战车（Chariot My Love）|Buster|对军宝具
100|海伦娜·布拉瓦茨基|Helena Blavatsky|4|Caster|女性|松竜|金元寿子|史实|欧洲|人|金星神・火炎天主（Sanat Kumāra）|Arts|对军宝具
101|罗摩|Rama|4|Saber|男性|輪くすさが|泽城美雪|罗摩衍那|印度|天|破穿罗刹之不灭（Brahmastra）|Buster|对魔宝具
102|神枪 李书文|Li Shuwen|4|Lancer|男性|ワダアルコ|安井邦彦|史实|中国|人|神枪无二打|Arts|对人宝具
103|托马斯·爱迪生|Thomas Edison|4|Caster|男性|pako|寺岛拓笃|史实|北美|人|W・F・D（World Faith Domination）|Arts|对民宝具
104|杰罗尼莫|Geronimo|3|Caster|男性|坂本みねぢ|江川央生|史实|北美|人|大地之创立者（Tsavo Dej Nareya）|Arts|对军宝具
105|比利小子|Billy the Kid|3|Archer|男性|縞うどん|高乃丽|史实|北美|人|坏音之霹雳（Thunderer）|Quick|对人宝具
106|贞德〔Alter〕|Jeanne d'Arc|5|Avenger|女性|武内崇|坂本真绫|史实|法国|人|咆哮吧，我的愤怒（La Grondement Du Haine）|Buster|对军宝具
107|安哥拉曼纽|Angra Mainyu|0|Avenger|男性|ネコタワワ|寺岛拓笃|拜火教|古代波斯|人|伪写记载之万象（Verg Avesta）|Arts|对人宝具
108|伊斯坎达尔|Iskandar|5|Rider|男性|武内崇|大冢明夫|史实|欧洲|人|王之军势（Ionioi Hetairoi）|Buster|对军宝具
109|卫宫〔Assassin〕|Emiya|4|Assassin|男性|AKIRA|小山力也|-|极东|人|有花堪折直须折（Khronos Rose）|Arts|对人宝具
110|百貌的哈桑|Hassan of Hundred Faces|3|Assassin|依据个体而不同|タスクオーナ|阿部彬名|中东、山中老人|中东|人|妄想幻象（Zabaniya）|Arts|对人宝具
111|爱丽斯菲尔〔天之衣〕|Irisviel〔Dress of Heaven〕|4|Caster|女性|縞うどん|大原沙耶香|-|-|天|洁白的圣杯啊，讴歌吧（Song Of Grail）|Arts|魔术宝具
112|酒吞童子|Shuten Douji|5|Assassin|女性|本庄雷太|悠木碧|御伽草子等|日本|地|千紫万红・神便鬼毒|Arts|对军宝具
113|玄奘三藏|Genjou Sanzou|5|Caster|女性|岡崎武士|小松未可子|「西游记」等|中国|人|五行山・释迦如来掌|Buster|对军・对城宝具
114|源赖光|Raikou Minamotono|5|Berserker|女性|本庄雷太|户松遥|史实、『御伽草子』|日本|天|牛王招雷・天网恢恢|Buster|对军宝具
115|坂田金时|Kintoki Sakata|4|Rider|男性|本庄雷太|游佐浩二|史实、古净瑠璃等|日本|地|夜狼死九・黄金疾走|Quick|对军宝具
116|茨木童子|Ibaraki Douji|4|Berserker|女性|左|东山奈央|御伽草子等|日本|地|罗生门大怨起|Buster|对军宝具
117|风魔小太郎|Koutarou Fuuma|3|Assassin|男性|佐々木少年|花江夏树|史实|日本|人|不灭的混沌旅团|Quick|对军宝具
118|奥兹曼迪亚斯|Ozymandias|5|Rider|男性|中原|子安武人|史实|埃及|天|光辉的大复合神殿（Ramesseum Tentyris）|Buster|对城宝具
119|阿尔托莉雅·潘德拉贡〔Lancer〕|Altria Pendragon|5|Lancer|女性|石田あきら|川澄绫子|亚瑟王传说|欧洲|天|耀于至远之枪（Rhongomyniad）|Buster|对城宝具
120|尼托克丽丝|Nitocris|4|Caster|女性|縞うどん|田中美海|史实|埃及|地|冥镜宝典（Anpu Neb-Ta-）|Arts|对军宝具
121|兰斯洛特|Lancelot|4|Saber|男性|しまどりる|置鲇龙太郎|亚瑟王传说|英格兰|地|缚锁全断・过重湖光（Aroundight Overload）|Arts|对军宝具
122|特里斯坦|Tristan|4|Archer|男性|森井しづき|内山昂辉|亚瑟王传说|不列颠|地|痛哭的幻奏（Failnaught）|Quick|对军宝具
123|高文|Gawain|4|Saber|男性|ワダアルコ|水岛大宙|亚瑟王传说|不列颠|地|轮转胜利之剑（Excalibur Gallatin）|Buster|对军宝具
124|静谧的哈桑|Hassan of Serenity|3|Assassin|女性|中原|千本木彩花|史实|中东|人|妄想毒身（Zabaniya）|Arts|对人宝具
125|俵藤太|Toda Tawara|3|Archer|男性|下越|铃村健一|俵藤太物语|日本|人|八幡祈愿・大妖射贯|Buster|对人宝具
126|贝狄威尔|Bedwyr|3|Saber|男性|天空すふぃあ|宫野真守|亚瑟王传说|英格兰|星|手握圣剑吧，银色之腕（Switch-on Agateram）|Buster|对人宝具
127|莱昂纳多·达·芬奇|Leonardo da Vinci|5|Caster|女性|下越|坂本真绫|史实|欧洲|星|万能之人（Uomo Universale）|Arts|对人宝具/对军宝具
128|玉藻前|Tamamo no Mae|5|Lancer|女性|ワダアルコ|斋藤千和|日本神话 三大化生的一角|日本|天|常夏日光・日除伞宠爱一神|Buster|对人宝具
129|阿尔托莉雅·潘德拉贡〔Archer〕|Altria Pendragon|5|Archer|女性|武内崇|川澄绫子|亚瑟王传说|英国|地|阳光璀璨胜利之剑（Excalibur・Vivian）|Arts|对人宝具
130|玛丽·安托瓦内特|Marie Antoinette|4|Caster|女性|ギンカ|种田梨沙|史实|欧洲|人|愿所爱光辉永存（Crystal Dress）|Arts|对军宝具/对民宝具
131|安妮·伯妮&玛丽·里德|Anne Bonny & Mary Read|4|Archer|女性|Ⅰ-Ⅳ|野中蓝&川澄绫子|史实|加勒比|人|比翼连理（Caribbean Freebird・Act 2）|Buster|对人宝具
132|莫德雷德|Mordred|4|Rider|女性|近衛乙嗣|泽城美雪|亚瑟王传说|英格兰|地|制压汹涌波涛的王者心情！（Prydwen Tube Riding）|Arts|对波宝具
133|斯卡哈|Scathach|4|Assassin|女性|こやまひろかず|能登麻美子|凯尔特神话|爱尔兰|星|蹴穿死翔之枪（Gae Bolg Alternative）|Quick|对人/对军宝具
134|清姬|Kiyohime|4|Lancer|女性|BLACK|种田梨沙|『清姫传说』|日本|地|道成寺钟百八式火龙薙|Buster|对人宝具
135|玛尔达|Marthe|4|Ruler|女性|坂本みねぢ|早见沙织|史实、新约圣书|欧洲|人|狂暴的悲哀之龙啊（Tarasque）|Buster|对人宝具/对龙宝具
136|伊莉雅斯菲尔·冯·爱因兹贝伦|Illyasviel von Einzbern|5|Caster|女性|ひろやまひろし|门胁舞以＆高野直子|Fate/kaleid liner 魔法少女☆伊莉雅|日本・冬木市|人|多元重奏饱和炮击（Quintet Fire）|Buster|对人宝具
137|克洛伊·冯·爱因兹贝伦|Chloe von Einzbern|4|Archer|女性|ひろやまひろし|斋藤千和|Fate/kaleid liner 魔法少女☆伊莉雅|日本・冬木市|天|鹤翼三连|Arts|对人宝具
138|伊丽莎白·巴陶里〔勇者〕|Erzsebet Bathory|4|Saber|女性|ワダアルコ|大久保瑠美|万圣节·回归！|监狱城恰赫季斯|地|鮮血龙卷魔娘（Báthory Brave Erzsébet）|Buster|对人宝具
139|克利奥帕特拉|Cleopatra|5|Assassin|女性|小松崎類|钉宫理惠|史实|埃及|人|终结黎明之蛇啊，降临此处|Buster|对军宝具
140|弗拉德三世〔Extra〕|Vlad Ⅲ|4|Lancer|男性|ワダアルコ|江川央生|史实|罗马尼亚|人|穿刺城塞（Kazikli Bey）|Buster|对军宝具
141|贞德·Alter·Santa·Lily|Jeanne d'Arc|4|Lancer|女性|武内崇|坂本真绫|史实（史实……？）|Santa Land（自称）|人|优雅的讴歌吧，为这圣诞！（La Glace Feuille Noël）|Buster|对军宝具
142|伊修塔尔|Ishtar|5|Archer|女性|森井しづき|植田佳奈|古代美索不达米亚神话|美索不达米亚|天|震撼山脉明星之薪（Angalta Kigalse）|Buster|对山宝具
143|恩奇都|Enkidu|5|Lancer|－|森井しづき|小林优|古代美索不达米亚神话|美索不达米亚|天|人子啊，紧系神明吧（Enuma Elish）|Buster|对肃正宝具
144|魁札尔·科亚特尔|Quetzalcoatl|5|Rider|女性|広江礼威|远藤绫|阿兹特克神话|中南美|天|炎蛇，连神一同烧灼殆尽（Xiuhcoatl）|Buster|对人・对城宝具
145|吉尔伽美什〔Caster〕|Gilgamesh|4|Caster|男性|ギンカ|关智一|苏美尔文明、吉尔伽美什叙事诗|巴比伦尼亚、乌鲁克|人|王之号炮（Melammu·Dingir）|Arts|对军～对城宝具
146|美杜莎〔Lancer〕|Medusa|4|Lancer|女性|BLACK|浅川悠|希腊神话|欧洲|地|女神的拥抱（Caress of the Medusa）|Quick|对人宝具
147|戈尔贡|Gorgon|4|Avenger|女性|下越 |浅川悠|希腊神话|欧洲|地|强制封印·万魔神殿（Pandemonium·Cetus）|Buster|对军宝具
148|豹人|Jaguar Man|3|Lancer|女性|蒼月タカオ|伊藤美纪|中南美各时代的神话|中南美|地|无法逃脱死之钩爪|Buster|对人宝具
149|提亚马特|Tiamat|5|BeastⅡ|女性|山中虎鉄|悠木碧|古代美索不达米亚神话|美索不达米亚|兽|||
150|梅林|Merlin|5|Caster|男性|タイキ|樱井孝宏|亚瑟王传说、其他|西欧诸国|地|已被永久闭关的理想乡（Garden of Avalon）|Arts|对人宝具
151|魔神王 盖提亚|Goetia|5|BeastⅠ|无|山中虎鉄|杉田智和|||兽|||
152|所罗门|Solomon|5|Caster|男性|武内崇|铃村健一|||地|||
153|宫本武藏|Musashi Miyamoto|5|Saber|女性|こやまひろかず|佐仓绫音|史实|日本|人|六道五轮・俱利伽罗天象|Buster|对人宝具
154|“山之翁”|Shaykh al Jabal|5|Assassin|男性|Ryota-H|中田让治|中东|中东|人|死告天使（Azrael）|Buster|对人宝具
155|谜之女主角X〔Alter〕|Mysterious Heroine X|5|Berserker|女性| BUNBUN|川澄绫子|2017年情人节活动|Servant界|星|黑龙双克胜利剑|Quick|对人宝具
156|詹姆斯·莫里亚蒂|James Moriarty|5|Archer|男性|本庄雷太|土师孝也|福尔摩斯探案集系列|欧洲全域|人|终局的犯罪（The Dynamics Of An Asteroid）|Buster|对军宝具
157|卫宫〔Alter〕|Emiya|4|Archer|男性|佐々木少年|诹访部顺一|Fate/Grand Order|日本|人|无限剑制（Unlimited Lost Works）|Arts|对人宝具
158|海森·罗伯|Hessian稬obo|4|Avenger|男性|下越|竹内良太|传承、史实、小说|美国|地|无远弗届的斩罪（Frieren Scharfrichter）|Quick|对人宝具
159|燕青|Yan Qing|4|Assassin|男性|縞うどん|冈本信彦|《水浒传》|中国|人|十面埋伏·形如无影|Quick|对人宝具
160|亚瑟·潘德拉贡〔Prototype〕|Arthur Pendragon|5|Saber|男性|中原|樱井孝宏|亚瑟王传说|欧洲|地|誓约胜利之剑（Excalibur）|Buster|？？？
